record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,11986,520.361385,True,209.472901,103.894834,210.545554,106.42613,233.584442,232.276469,826.893719,210.061783,104.426524,-0.53764,-1.231973,0.590267,105.188179,210.000527,0.531708,209.354109,103.757468,0.288166,-0.420855,1.235919,104.450892,209.287332,1.169879,89.937284,89.89045,89.968928,89.953464,0.062716,0.10955,0.031072,0.046536,1.800038,1.875976,1.845094,1.815009,1.8,0.011658,1.875,0.060511,1.845,0.018664,1.815,0.005727,
slice,12190,530.341052,True,209.448758,103.909914,210.565393,106.404663,233.600788,232.263412,826.893719,210.058253,104.454729,-0.559504,-1.218466,0.61075,105.179762,209.998506,0.544832,209.352508,103.787892,0.274378,-0.402625,1.241942,104.444765,209.287163,1.180645,89.943238,89.905615,89.997573,89.99831,0.056762,0.094385,0.002427,0.00169,1.785026,1.890989,1.815108,1.800028,1.785,0.009668,1.89,0.061158,1.815,0.019809,1.8,0.010006,
slice,12394,540.32072,True,209.442015,103.903304,210.592481,106.411557,233.637165,232.250746,826.893719,210.068297,104.467414,-0.581028,-1.224265,0.627496,105.18043,210.003859,0.564131,209.365411,103.790297,0.249978,-0.406922,1.254071,104.443125,209.293396,1.195617,89.946884,89.899476,89.969227,89.976351,0.053116,0.100524,0.030773,0.023649,1.800056,1.890846,1.830157,1.800003,1.8,0.014176,1.89,0.056557,1.83,0.023954,1.8,0.003462,
slice,12598,550.300387,True,209.414377,103.914633,210.619071,106.393626,233.661365,232.22756,826.893719,210.064035,104.492671,-0.606261,-1.213232,0.650763,105.172969,210.005192,0.578055,209.361426,103.818303,0.228156,-0.397381,1.268486,104.43916,209.29056,1.209046,89.954319,89.898243,89.996633,89.992719,0.045681,0.101757,0.003367,0.007281,1.785037,1.875853,1.815267,1.785024,1.785,0.011418,1.875,0.056562,1.815,0.031152,1.785,0.009282,
slice,12802,560.280055,True,209.403379,103.911914,210.647408,106.391159,233.685242,232.210127,826.893719,210.071817,104.506305,-0.626085,-1.21514,0.669484,105.16813,210.01355,0.594407,209.363786,103.831379,0.209435,-0.395535,1.289016,104.439674,209.30517,1.236851,89.944634,89.89477,89.986129,89.953023,0.055366,0.10523,0.013871,0.046977,1.800094,1.876035,1.815057,1.815,1.8,0.018431,1.875,0.062297,1.815,0.014413,1.815,0.000466,
slice,13006,570.259722,True,209.380464,103.926094,210.673186,106.384109,233.710413,232.187463,826.893719,210.069742,104.532109,-0.650794,-1.207539,0.690244,105.168118,210.014587,0.606029,209.365135,103.854113,0.192245,-0.392034,1.308488,104.430564,209.304295,1.237724,89.949744,89.895236,89.966648,89.992876,0.050256,0.104764,0.033352,0.007124,1.800012,1.875818,1.830241,1.785023,1.8,0.006658,1.875,0.055402,1.83,0.029712,1.785,0.009004,
slice,13210,580.239389,True,209.369485,103.934007,210.696285,106.363928,233.734812,232.171086,826.893719,210.078459,104.553187,-0.671716,-1.201792,0.709834,105.153164,210.0167,0.619198,209.374526,103.87432,0.180022,-0.383159,1.323645,104.425844,209.310803,1.252421,89.951858,89.899332,89.988893,89.984153,0.048142,0.100668,0.011107,0.015847,1.785057,1.905706,1.815104,1.785001,1.785,0.014233,1.905,0.051871,1.815,0.019409,1.785,0.002034,
slice,13414,590.219057,True,209.349336,103.945678,210.727298,106.355521,233.758813,232.153589,826.893719,210.074491,104.578448,-0.6958,-1.195336,0.725937,105.150683,210.023568,0.632782,209.367182,103.89892,0.15506,-0.377016,1.332199,104.417143,209.309864,1.263957,89.947269,89.892717,89.98469,89.977934,0.052731,0.107283,0.01531,0.022066,1.800028,1.890894,1.815147,1.800018,1.8,0.010044,1.89,0.058131,1.815,0.023112,1.8,0.00815,
slice,13618,600.198724,True,209.338832,103.948943,210.747723,106.349146,233.796275,232.133643,826.893719,210.083963,104.593994,-0.717324,-1.196819,0.745849,105.14226,210.02235,0.645069,209.380825,103.912757,0.134054,-0.377642,1.351848,104.418553,209.314677,1.280346,89.943645,89.875392,89.97247,89.96503,0.056355,0.124608,0.02753,0.03497,1.800082,1.890871,1.81517,1.800003,1.8,0.017232,1.89,0.057396,1.815,0.024863,1.8,0.003084,
slice,13822,610.178392,True,209.313406,103.966092,210.77538,106.334059,233.809917,232.111298,826.893719,210.076629,104.624914,-0.743384,-1.183281,0.763856,105.140095,210.023946,0.658835,209.367381,103.941852,0.110527,-0.358897,1.365746,104.415114,209.311946,1.29367,89.966833,89.899036,89.981466,89.993961,0.033167,0.100964,0.018534,0.006039,1.800051,1.891134,1.800085,1.815,1.8,0.01349,1.89,0.065493,1.8,0.017481,1.815,0.000383,
